Title,Genres,Categories,Rating
Sakura-Gari,"[""Drama"", ""Historical"", ""Mature"", ""Mystery"", ""Psychological"", ""Shoujo"", ""Tragedy"", ""Yaoi""]","[{""Category"": ""Bishounen"", ""Score"": ""33""}, {""Category"": ""Family Drama"", ""Score"": ""36""}, {""Category"": ""Half-Japanese"", ""Score"": ""36""}, {""Category"": ""Incest"", ""Score"": ""41""}, {""Category"": ""Loneliness"", ""Score"": ""36""}, {""Category"": ""Murder/s"", ""Score"": ""61""}, {""Category"": ""Possessive Lover/s"", ""Score"": ""58""}, {""Category"": ""Rape"", ""Score"": ""71""}, {""Category"": ""Sexual Abuse"", ""Score"": ""42""}, {""Category"": ""Taisho Era"", ""Score"": ""59""}]",8.53
Meteor Methuselah,"[""Action"", ""Adventure"", ""Comedy"", ""Drama"", ""Fantasy"", ""Romance"", ""Sci-fi"", ""Shoujo""]","[{""Category"": ""Age Gap"", ""Score"": ""54""}, {""Category"": ""Assassin/s"", ""Score"": ""52""}, {""Category"": ""Bounty Hunter/s"", ""Score"": ""61""}, {""Category"": ""Immortality"", ""Score"": ""80""}, {""Category"": ""Monster/s"", ""Score"": ""55""}, {""Category"": ""Older Male Younger Female"", ""Score"": ""51""}, {""Category"": ""Orphan/s"", ""Score"": ""40""}, {""Category"": ""Reincarnation"", ""Score"": ""46""}, {""Category"": ""Scientific Transformation/s"", ""Score"": ""36""}, {""Category"": ""Strong Female Lead"", ""Score"": ""39""}]",8.53
The Friendly Winter,"[""Comedy"", ""Drama"", ""Psychological"", ""Slice of Life""]","[{""Category"": ""Appearance Different from Actual Age"", ""Score"": ""29""}, {""Category"": ""Disability/ies"", ""Score"": ""28""}, {""Category"": ""Full Color"", ""Score"": ""29""}, {""Category"": ""Growth Disorder"", ""Score"": ""35""}, {""Category"": ""Innocent Male Lead"", ""Score"": ""31""}, {""Category"": ""Mental Illness"", ""Score"": ""27""}, {""Category"": ""Older Female Lead"", ""Score"": ""28""}, {""Category"": ""Parental Abandonment"", ""Score"": ""29""}, {""Category"": ""Sharp-Tongued Female Lead"", ""Score"": ""27""}, {""Category"": ""Short Female Lead"", ""Score"": ""27""}]",8.53
Adekan,"[""Action"", ""Comedy"", ""Drama"", ""Historical"", ""Mystery"", ""Psychological"", ""Shoujo"", ""Supernatural""]","[{""Category"": ""Androgynous Protagonist"", ""Score"": ""50""}, {""Category"": ""Bromance"", ""Score"": ""39""}, {""Category"": ""Comedic Undertone"", ""Score"": ""43""}, {""Category"": ""Crime/s"", ""Score"": ""46""}, {""Category"": ""Difficult Childhood"", ""Score"": ""32""}, {""Category"": ""Elaborate Art Style"", ""Score"": ""37""}, {""Category"": ""Hidden Past"", ""Score"": ""41""}, {""Category"": ""Hot-Blooded Male Lead"", ""Score"": ""31""}, {""Category"": ""Important Non-Romantic Relationship/s"", ""Score"": ""35""}, {""Category"": ""Police"", ""Score"": ""48""}]",8.53
Machida-kun no Sekai,"[""Comedy"", ""Drama"", ""Psychological"", ""Romance"", ""School Life"", ""Shoujo"", ""Slice of Life""]","[{""Category"": ""Caring Male Lead"", ""Score"": ""21""}, {""Category"": ""Caring Protagonist"", ""Score"": ""17""}, {""Category"": ""Chivalrous Male Lead"", ""Score"": ""16""}, {""Category"": ""Dense When It Comes to Love"", ""Score"": ""18""}, {""Category"": ""Female Lead Falls in Love First"", ""Score"": ""18""}, {""Category"": ""Glasses-Wearing Male Lead"", ""Score"": ""21""}, {""Category"": ""Glasses-Wearing Protagonist"", ""Score"": ""17""}, {""Category"": ""Helpful Protagonist"", ""Score"": ""21""}, {""Category"": ""Inexperienced in Love"", ""Score"": ""18""}, {""Category"": ""Siblings"", ""Score"": ""22""}]",8.53
Eden - It's an Endless World!,"[""Action"", ""Drama"", ""Mature"", ""Psychological"", ""Sci-fi"", ""Seinen""]","[{""Category"": ""Biopunk"", ""Score"": ""15""}, {""Category"": ""Character Growth"", ""Score"": ""27""}, {""Category"": ""Cyberpunk"", ""Score"": ""23""}, {""Category"": ""Dystopia"", ""Score"": ""22""}, {""Category"": ""Mythology"", ""Score"": ""15""}, {""Category"": ""Philosophical"", ""Score"": ""19""}, {""Category"": ""Politics"", ""Score"": ""25""}, {""Category"": ""Post-Apocalyptic"", ""Score"": ""22""}, {""Category"": ""Reflections on Human Existence"", ""Score"": ""17""}, {""Category"": ""Survival"", ""Score"": ""19""}]",8.53
Kodomo no Omocha,"[""Comedy"", ""Drama"", ""Romance"", ""School Life"", ""Shoujo"", ""Slice of Life""]","[{""Category"": ""Acting"", ""Score"": ""72""}, {""Category"": ""Adoption"", ""Score"": ""65""}, {""Category"": ""Child Actor/Actress"", ""Score"": ""50""}, {""Category"": ""Family"", ""Score"": ""61""}, {""Category"": ""Love Triangle/s"", ""Score"": ""56""}, {""Category"": ""Mature Child/ren"", ""Score"": ""65""}, {""Category"": ""Quirky Character/s"", ""Score"": ""54""}, {""Category"": ""Showbiz"", ""Score"": ""70""}, {""Category"": ""Strong Female Lead"", ""Score"": ""67""}, {""Category"": ""Student/s"", ""Score"": ""53""}]",8.53
Saigo no Door wo Shimero!,"[""Comedy"", ""Drama"", ""Romance"", ""Slice of Life"", ""Yaoi""]","[{""Category"": ""Adapted to Anime"", ""Score"": ""17""}, {""Category"": ""Alcohol"", ""Score"": ""19""}, {""Category"": ""Bickering Love"", ""Score"": ""28""}, {""Category"": ""Bisexual Character/s"", ""Score"": ""19""}, {""Category"": ""Drunken Intercourse"", ""Score"": ""19""}, {""Category"": ""Ex-Girlfriend"", ""Score"": ""15""}, {""Category"": ""Love Triangle/s"", ""Score"": ""31""}, {""Category"": ""Salaryman"", ""Score"": ""23""}, {""Category"": ""Straight Seme"", ""Score"": ""15""}, {""Category"": ""Unexpressed Feeling/s"", ""Score"": ""22""}]",8.52
Dousei Yankee Akamatsu Seven,"[""Action"", ""Comedy"", ""Drama"", ""Romance"", ""Slice of Life"", ""Yaoi""]","[{""Category"": ""Cohabitation"", ""Score"": ""17""}, {""Category"": ""Delinquent Male Lead"", ""Score"": ""16""}, {""Category"": ""Delinquent/s"", ""Score"": ""18""}, {""Category"": ""Fight/s"", ""Score"": ""18""}, {""Category"": ""Forced Prostitution"", ""Score"": ""10""}, {""Category"": ""Homeless"", ""Score"": ""16""}, {""Category"": ""Manly Gay Couple"", ""Score"": ""18""}, {""Category"": ""Roommates"", ""Score"": ""19""}, {""Category"": ""Runaway/s"", ""Score"": ""19""}, {""Category"": ""Yakuza/s"", ""Score"": ""16""}]",8.52
Gin no Saji,"[""Comedy"", ""Drama"", ""Romance"", ""School Life"", ""Shounen"", ""Slice of Life""]","[{""Category"": ""Agriculture"", ""Score"": ""56""}, {""Category"": ""Animal/s"", ""Score"": ""59""}, {""Category"": ""Character Growth"", ""Score"": ""46""}, {""Category"": ""Culture Shock"", ""Score"": ""33""}, {""Category"": ""Dormitory/ies"", ""Score"": ""48""}, {""Category"": ""Farmer/s"", ""Score"": ""52""}, {""Category"": ""Glasses-Wearing Male Lead"", ""Score"": ""37""}, {""Category"": ""Hard-Working Protagonist"", ""Score"": ""37""}, {""Category"": ""Hokkaido"", ""Score"": ""35""}, {""Category"": ""Lifestyle Change"", ""Score"": ""47""}]",8.52
